schemaVersion,recordType,source.name,source.url,collectedAt,content.entityName,content.data.employeeCount,content.data.website,content.data.batch,content.data.status,content.data.oneLiner,content.data.tags,content.data.location,content.entityNameRaw
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/custora,2026-08-27T12:14:29Z,Custora,11,http://custora.com,Winter 2011,Acquired,Custora is a predictive analytics platform for e-commerce marketing…,E-Commerce; Analytics; Retail Tech,"New York City, NY, USA; New York, NY, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/humble-bundle,2026-08-27T12:14:29Z,Humble Bundle,100,https://humble.com,Winter 2011,Acquired,Pay what you want for awesome games and other content while giving to…,Entertainment; Gaming,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/flotype,2026-08-27T12:14:29Z,Flotype,2,flotype.com,Winter 2011,Inactive,Third generation of web apps.,SaaS; API,"San Francisco, CA, USA; San Jose, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/fivestars,2026-08-27T12:14:29Z,Fivestars,201,http://fivestars.com,Winter 2011,Acquired,Customer loyalty and payments platform for small businesses.,Fintech; Marketplace,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/mailgun,2026-08-27T12:14:29Z,Mailgun,51,http://mailgun.net,Winter 2011,Acquired,Email API service.,API; Email,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/talkbin,2026-08-27T12:14:29Z,TalkBin,,http://talkbin.com,Winter 2011,Acquired,Consumer to business messaging. ,Messaging; Customer Service,"San Francisco, CA, USA; Mountain View, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/simplylisted,2026-08-27T12:14:29Z,SimplyListed,2,http://simplylisted.com,Winter 2011,Inactive,Sell your stuff.,Marketplace; Computer Vision,"New York City, NY, USA; San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/presto,2026-08-27T12:14:29Z,Presto,200,http://presto.com,Summer 2010,Public,Digital meets physical for big chain restaurants,Food Service Robots & Machines; Restaurant Tech,"San Francisco, CA, USA; San Carlos, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/teevox,2026-08-27T12:14:29Z,Teevox,11,https://teevox.com,Summer 2010,Inactive,Teevox,AI-powered Drug Discovery,"San Francisco, CA, USA; Cupertino, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/rapportive,2026-08-27T12:14:29Z,Rapportive,2,http://rapportive.com,Summer 2010,Acquired,Add profiles to email.,Productivity; Email,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/gazehawk,2026-08-27T12:14:29Z,GazeHawk,2,http://gazehawk.com,Summer 2010,Acquired,Eyetracking using webcams.,Computer Vision,"San Francisco, CA, USA; Mountain View, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/post-fm,2026-08-27T12:14:29Z,Post.fm,,http://post.fm,Summer 2010,Inactive,New email inbox.,Email,"London, England, United Kingdom; Remote",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/mertado,2026-08-27T12:14:29Z,Mertado,1,http://mertado.com,Winter 2010,Acquired,,,"San Francisco, CA, USA; Redwood City, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/500friends,2026-08-27T12:14:29Z,500Friends,51,http://500friends.com,Winter 2010,Acquired,the best loyalty and retention marketing partner for CMOs. ,Marketing,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/fabricly,2026-08-27T12:14:29Z,Fabricly,2,http://fabricly.com,Winter 2010,Inactive,,,"New York City, NY, USA; New York, NY, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/fithub,2026-08-27T12:14:29Z,Fithub,,http://fithub.com,Winter 2010,Inactive,,,,
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/directed-edge,2026-08-27T12:14:29Z,Directed Edge,2,http://directededge.com,Summer 2009,Active,Product recommendations.,Artificial Intelligence; Machine Learning; Recommendation System,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/olark,2026-08-27T12:14:29Z,Olark,28,http://olark.com,Summer 2009,Active,The best live chat software on the planet.  We help you build…,Sales; Customer Service; Chat,"San Francisco, CA, USA; Ann Arbor, MI, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/instantq,2026-08-27T12:14:29Z,Instantq,2,http://instantq.com,Summer 2009,Inactive,,,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/wattvision,2026-08-27T12:14:29Z,Wattvision,,http://www.wattvision.com,Winter 2009,Inactive,Sensors and software for energy tracking. Like 'fitbit' for your…,Sustainability,"Princeton, NJ, USA; Remote",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/volantio,2026-08-27T12:14:29Z,Volantio,19,http://www.volantio.com,Winter 2009,Active,Post-booking revenue and capacity optimization for airlines…,Airlines,"Atlanta, GA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/remail,2026-08-27T12:14:29Z,reMail,1,http://remail.com,Winter 2009,Acquired,Email search for iPhone. Acquired by Google in Feb 2010.,Email,"CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/posterous,2026-08-27T12:14:29Z,Posterous,11,http://posterous.com,Summer 2008,Acquired,Dead simple blogs by email,Email,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/frogmetrics,2026-08-27T12:14:29Z,Frogmetrics,2,http://frogmetrics.com,Summer 2008,Inactive,,,"New York City, NY, USA; Brooklyn, NY, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/justspotted,2026-08-27T12:14:29Z,JustSpotted,2,http://justspotted.com,Summer 2008,Acquired,Acquired by Google in 2011,Artificial Intelligence; ML,"San Francisco, CA, USA; Copenhagen, Denmark",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/claimspotting,2026-08-27T12:14:29Z,Claimspotting,,http://urbantakeover.at,Summer 2008,Inactive,Claim and conquer your city,Proptech,Remote,
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/zenter,2026-08-27T12:14:29Z,Zenter,2,https://googleblog.blogspot.com/2007/06/more-sharing.html,Winter 2007,Acquired,Zenter is the gmail of slides,Documents; SaaS; B2B; Productivity,"San Francisco, CA, USA; Mountain View, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/scribd,2026-08-27T12:14:29Z,Scribd,300,http://scribd.com,Summer 2006,Active,World's largest online library.,AI-Enhanced Learning; Remote Work; Edtech,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/twitch,2026-08-27T12:14:29Z,Twitch,2000,http://twitch.com,Winter 2007,Acquired,A global community creating the future of live entertainment.,Community; Gaming; Social Media; Video; Social Network,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/zeromailer,2026-08-27T12:14:29Z,ZeroMailer,2,http://zeromailer.com,Summer 2012,Acquired,Easy mailing lists,Email,,
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/canopy-labs,2026-08-27T12:14:29Z,Canopy Labs,11,http://canopylabs.com,Summer 2012,Inactive,Canopy Labs automates customer analytics for small and medium-sized…,Artificial Intelligence; Analytics; Marketing; CRM,"New York City, NY, USA; New York, NY, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/zentail,2026-08-27T12:14:29Z,Zentail,30,https://zentail.com,Summer 2012,Active,We're making ecommerce simple connecting brands with sales channels,SaaS; E-commerce,"Columbia, MD, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/soylent,2026-08-27T12:14:29Z,Soylent,51,http://soylent.com,Summer 2012,Acquired,"Soylent is a simple, nutritious, and affordable food that possesses…",Sustainability; Food Tech,"Los Angeles, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/vayable,2026-08-27T12:14:29Z,Vayable,2,http://vayable.com,Summer 2012,Acquired,We're building a marketplace for unique travel experiences (it's…,Education; Marketplace; Sustainable Tourism,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/hipset,2026-08-27T12:14:29Z,Hipset,,http://tracksby.com,Summer 2012,Inactive,The best way for artists to release new music and videos.,Entertainment; Video; Music,,
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/keychain-logistics,2026-08-27T12:14:29Z,Keychain Logistics,2,http://keychainlogistics.com,Summer 2012,Inactive,Software that connects the supply side of companies that ship product…,Logistics; Supply Chain,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/tastemaker,2026-08-27T12:14:29Z,Tastemaker,11,http://tastemaker.com,Summer 2012,Inactive,Interior design marketplace and online retailer,Design Tools,"San Francisco, CA, USA; Remote",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/celery,2026-08-27T12:14:29Z,Celery,11,https://trycelery.com,Summer 2012,Inactive,Celery is a platform for pre-orders (www.trycelery.com). Accept…,E-Commerce; Crowdfunding,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/getgoing,2026-08-27T12:14:29Z,GetGoing,11,http://getgoing.com,Summer 2012,Inactive,"We are building a ""transparent opaque"" airfare and hotel booking site…",Travel; Booking,"San Francisco, CA, USA; Redwood City, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/plivo,2026-08-27T12:14:29Z,Plivo,320,https://plivo.com,Summer 2012,Active,"Voice AI Agents for customer engagement, including WhatsApp, SMS &…",SMS; AI; AI Assistant,"Austin, TX, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/thread,2026-08-27T12:14:29Z,Thread,92,http://thread.com,Summer 2012,Inactive,"Thread makes it incredibly easy to dress well, using stylists and AI",E-commerce; Retail; Fashion,"London, England, United Kingdom",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/styleup,2026-08-27T12:14:29Z,StyleUp,10,http://thestyleup.com,Winter 2013,Active,"StyleUp brings effortless joy to getting dressed with daily,…",Fashion,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/swish,2026-08-27T12:14:29Z,Swish,2,http://swish.com,Winter 2013,Inactive,Kickstarter for physical products.  Shop exclusive product launches.,Hardware; E-Commerce,"San Francisco, CA, USA; Palo Alto, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/cheetah,2026-08-27T12:14:29Z,Cheetah,2,http://gocheetah.com,Winter 2013,Active,"Fastest, easiest, and most affordable way for small business owners…",Logistics; Supply Chain,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/radar,2026-08-27T12:14:29Z,RADAR,120,https://goradar.com,Winter 2013,Active,RADAR is building technology to completely transform the in-store…,Retail Tech; AI,"New York City, NY, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/beatdeck,2026-08-27T12:14:29Z,BeatDeck,2,http://beatdeck.com,Winter 2013,Inactive,"Music, Metrics... Meritocracy. 
(Upload Music, Connect your Social…",Social Media; Music,"Atlanta, GA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/flightcar,2026-08-27T12:14:29Z,FlightCar,51,http://flightcar.com,Winter 2013,Inactive,"FlightCar is the Airbnb of Car Rentals at Airports.
We allow people…",Marketplace,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/semantics3,2026-08-27T12:14:29Z,Semantics3,25,http://www.semantics3.com,Winter 2013,Acquired,Data and AI platform for Ecommerce & Cross-Border Logistics,Artificial Intelligence; Logistics; E-commerce,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/teespring,2026-08-27T12:14:29Z,Teespring,201,http://teespring.com,Winter 2013,Acquired,IMPORTANT: The original YC founders are no longer involved with this…,Marketplace; E-Commerce; Retail,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/airware,2026-08-27T12:14:29Z,Airware,51,http://airware.com,Winter 2013,Inactive,Airware provides end-to-end solutions that enable enterprises to…,Drones; Enterprise,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/posmetrics,2026-08-27T12:14:29Z,Posmetrics,2,http://posmetrics.com,Winter 2013,Inactive,Ultra-short feedback surveys on tablets mounted in businesses. Higher…,Analytics,"San Francisco, CA, USA; Cupertino, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/crowdery,2026-08-27T12:14:29Z,Crowdery,2,http://crowdery.com,Summer 2013,Inactive,"[Now Clara, YC S14- claralabs.com]",Education; eLearning,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/easypost,2026-08-27T12:14:29Z,EasyPost,51,http://easypost.com,Summer 2013,Active,The shipping infrastructure of the internet.,Logistics; Supply Chain,"San Francisco, CA, USA; Remote",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/estimote-inc,2026-08-27T12:14:29Z,"Estimote, Inc.",40,http://estimote.com,Summer 2013,Active,Location intelligence platform,Developer Tools; Indoor Mapping; IoT,"Kraków, Lesser Poland Voivodeship, Poland",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/hum,2026-08-27T12:14:29Z,Hum,11,http://letshum.com,Summer 2013,Inactive,"A chat program that integrates with email, with presence.",Productivity; Messaging,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/cratejoy,2026-08-27T12:14:29Z,Cratejoy,51,http://cratejoy.com,Summer 2013,Active,Cratejoy is the platform for subscriptions,Subscriptions,"Austin, TX, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/casetext,2026-08-27T12:14:29Z,Casetext,50,http://casetext.com,Summer 2013,Acquired,We make the world's laws free and understandable. ,Artificial Intelligence; Legal,"San Francisco, CA, USA; Remote",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/localon,2026-08-27T12:14:29Z,LocalOn,2,http://localon.com,Summer 2013,Inactive,Web marketing for SMBs & merchants associations.,Marketing; SMB,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/lob,2026-08-27T12:14:29Z,Lob,150,http://lob.com,Summer 2013,Active,Lob is the only automation platform that transforms direct mail into…,Automation,"New York City, NY, USA; San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/butter-systems,2026-08-27T12:14:29Z,Butter Systems,2,http://buttersystems.com,Summer 2013,Inactive,Replacing the paper restaurant menu with an interactive experience at…,Digital Health; Restaurant Tech,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/42,2026-08-27T12:14:29Z,42,,https://42technologies.com,Winter 2014,Active,Analytics stack for omnichannel retailers and brands,SaaS; Analytics; Retail,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/airhelp,2026-08-27T12:14:29Z,AirHelp,350,http://www.airhelp.com,Winter 2014,Active,"AirHelp helps air passengers get compensation for delayed, cancelled…",,"Lisbon, Lisbon, Portugal; Remote",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/two-tap,2026-08-27T12:14:29Z,Two Tap,11,http://twotap.com,Winter 2014,Acquired,Two Tap connects retailers to companies that want to sell their…,E-commerce; Retail,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/noora-health,2026-08-27T12:14:29Z,Noora Health,500,http://noorahealth.org,Winter 2014,Active,Training patients and their families with health skills,Consumer Health Services,"Traverse City, MI, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/threadable,2026-08-27T12:14:29Z,Threadable,2,http://threadable.com,Winter 2014,Inactive,"Mailing lists 2.0. 
Threadable makes group email less noisy and more…",Messaging; Email,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/cruise,2026-08-27T12:14:29Z,Cruise,3000,http://getcruise.com,Winter 2014,Acquired,Self-driving cars.,Autonomous Delivery; Machine Learning; Climate; AI; Self-Driving Vehicles,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/eventjoy,2026-08-27T12:14:29Z,Eventjoy,2,http://eventjoy.com,Winter 2014,Acquired,"Fee-free ticketing, optimized for mobile.",Ticketing,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/flexport,2026-08-27T12:14:29Z,Flexport,3000,https://www.flexport.com/careers/jobs/,Winter 2014,Active,Platform for global logistics.,SaaS; Logistics; Supply Chain,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/emailio,2026-08-27T12:14:29Z,Emailio,5,http://emailio.com,Winter 2014,Active,Email built for wellness,Productivity; Health & Wellness,Remote,
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/theorem,2026-08-27T12:14:29Z,Theorem,34,http://theoremlp.com,Winter 2014,Acquired,The mission of Theorem is to make credit safe and available. We use…,Fintech; Machine Learning,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/liftigniter,2026-08-27T12:14:29Z,Liftigniter,11,http://liftigniter.com/,Winter 2014,Acquired,Machine Learning personalization for dynamic digital properties -…,Machine Learning; Personalization,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/rickshaw,2026-08-27T12:14:29Z,Rickshaw,11,http://gorickshaw.com,Winter 2014,Acquired,"Same day local delivery, via API. Currently operating in SF.",Delivery; Logistics; API,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/shoobs,2026-08-27T12:14:29Z,Shoobs,5,http://shoobs.com,Winter 2014,Active,We help you find and book tickets to great entertainment events that…,Marketplace,"London, England, United Kingdom",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/shopagram,2026-08-27T12:14:29Z,Shopagram,1,http://shopagram.co,Winter 2014,Inactive,Next Generation Home Shopping Network,E-Commerce; Retail,,
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/unicornly,2026-08-27T12:14:29Z,Unicornly,2,https://unicorn.ly,Winter 2014,Inactive,Unicorn.ly makes fundraising more efficient for both angel investors…,Fintech; Investing,"San Francisco, CA, USA; Palo Alto, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/wit-ai,2026-08-27T12:14:29Z,Wit.ai,11,http://wit.ai,Winter 2014,Acquired,Natural Language for Developers --Wit is an API that makes it easy…,Developer Tools; NLP; APIs,"San Francisco, CA, USA; Palo Alto, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/zinc,2026-08-27T12:14:29Z,Zinc,10,http://zinc.com,Winter 2014,Active,The secret backbone of e-commerce. ,E-commerce,"San Francisco, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/gobble,2026-08-27T12:14:29Z,Gobble,73,http://gobble.com,Winter 2014,Acquired,"Daily meal delivery, personalized to your tastes.",Subscriptions,"San Francisco, CA, USA; Palo Alto, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/unbabel,2026-08-27T12:14:29Z,Unbabel,350,http://unbabel.com,Winter 2014,Acquired,AI-powered Language Operations platform,,"San Francisco, CA, USA; Lisbon, Lisbon, Portugal; London, England, United Kingdom; Pittsburgh, PA, USA; Timișoara, TM, Romania; Cebu City, Central Visayas, Philippines",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/mixerbox,2026-08-27T12:14:29Z,MixerBox,30,http://mixerbox.com,Winter 2014,Active,AI Super-Apps to Live Easier | The anything anytime superapps…,Generative AI; Consumer; Productivity; AI,"Los Angeles, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/opencurriculum,2026-08-27T12:14:29Z,OpenCurriculum,,https://opencurriculum.org,Winter 2014,Active,Helping K-12 teachers and school administrators build awesome…,Artificial Intelligence; Education,"Sacramento, CA, USA; Mountain View, CA, USA",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/dyspatch,2026-08-27T12:14:29Z,Dyspatch,20,https://www.dyspatch.io,Winter 2014,Active,"AI Email Production - Emails on brand, guaranteed to work, fast.",SaaS; B2B,"Victoria, BC, Canada; Remote",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/whirlscape,2026-08-27T12:14:29Z,Whirlscape,3,http://getdango.com,Winter 2014,Inactive,Mobile keyboards + emoji + deep learning. We make Dango. We also made…,Deep Learning,"Toronto, ON, Canada",
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/springwit,2026-08-27T12:14:29Z,SpringWit,,http://springwit.com,Summer 2014,Inactive,Brain health and awareness,Neurotechnology; Health Tech,,
1.0,STARTUP,Y Combinator Directory,https://www.ycombinator.com/companies/checkr,2026-08-27T12:14:29Z,Checkr,800,http://www.checkr.com,Summer 2014,Active,People infrastructure for the future of work,Artificial Intelligence; Compliance; HR Tech; API; Enterprise Software,"San Francisco, CA, USA",
